comuna|fraccion|radio|manzana|nombre
13|2|2|2|NULL
13|3|2|2|NULL
13|4|1|2|NULL
13|5|2|2|NULL
13|6|2|2|NULL
13|7|1|2|NULL
13|8|2|2|NULL
13|9|2|2|NULL
13|10|1|2|NULL
13|11|1|2|NULL
13|12|1|2|NULL
13|14|6|2|NULL
13|15|2|2|NULL
13|16|1|2|NULL
13|18|1|2|NULL
13|19|1|2|NULL
13|20|2|2|NULL
13|21|2|2|NULL
13|22|1|2|NULL
13|23|1|2|NULL
13|24|2|2|NULL
13|25|2|2|NULL
13|26|1|2|NULL
13|27|2|2|NULL
13|28|1|2|NULL
13|29|2|2|NULL
14|1|2|2|NULL
14|2|2|2|NULL
14|3|1|2|NULL
14|4|2|2|NULL
14|5|3|2|NULL
14|7|2|2|NULL
14|8|1|2|NULL
14|10|2|2|NULL
14|11|2|2|NULL
14|12|1|2|NULL
14|13|2|2|NULL
14|14|6|2|NULL
14|15|6|2|NULL
14|16|1|2|NULL
14|17|2|2|NULL
14|19|2|2|NULL
14|20|2|2|NULL
14|21|1|2|NULL
14|22|1|2|NULL
14|23|2|2|NULL
14|24|2|2|NULL
14|25|2|2|NULL
14|26|3|2|NULL
14|27|4|2|NULL
14|28|4|2|NULL
14|29|1|2|NULL
14|30|2|2|NULL
14|31|2|2|NULL
15|1|1|2|NULL
15|2|1|2|NULL
15|3|1|2|NULL
15|4|1|2|NULL
15|5|1|2|NULL
15|6|1|2|NULL
15|8|1|2|NULL
15|10|1|2|NULL
15|12|6|2|NULL
15|13|5|2|NULL
15|14|9|2|NULL
15|15|7|2|NULL
15|16|1|2|NULL
15|17|4|2|NULL
15|18|6|2|NULL
15|19|2|2|NULL
15|20|4|2|NULL
15|21|2|2|NULL
4|27|1|2|NULL
5|21|12|2|NULL
8|18|6|2|NULL
4|6|12|2|NULL
5|11|11|2|NULL
6|5|13|2|NULL
12|2|9|2|NULL
13|17|12|2|NULL
14|6|13|2|NULL
14|9|14|2|NULL
15|9|10|2|NULL
15|11|14|2|NULL
1|2|21|2|NULL
1|3|1|3|NULL
1|4|2|3|NULL
1|5|1|3|NULL
1|6|2|3|NULL
1|8|3|3|NULL
1|9|3|3|NULL
1|11|3|3|NULL
1|12|3|3|NULL
1|13|1|3|NULL
1|14|1|3|NULL
1|15|1|3|NULL
1|17|1|3|NULL
1|18|4|3|NULL
1|19|3|3|NULL
1|20|2|3|NULL
1|21|2|3|NULL
1|22|1|3|NULL
1|23|4|3|NULL
1|24|2|3|NULL
1|25|2|3|NULL
1|26|3|3|NULL
1|27|1|3|NULL
1|28|1|3|NULL
1|29|1|3|NULL
2|1|1|3|NULL
2|2|3|3|NULL
2|3|3|3|NULL
2|4|1|3|NULL
2|5|4|3|NULL
2|6|2|3|NULL
2|7|3|3|NULL
2|8|8|3|NULL
2|9|1|3|NULL
2|10|9|3|NULL
2|11|6|3|NULL
2|12|6|3|NULL
2|13|6|3|NULL
2|14|1|3|NULL
2|15|3|3|NULL
2|16|3|3|NULL
2|17|3|3|NULL
2|18|6|3|NULL
2|19|3|3|NULL
2|20|3|3|NULL
2|21|3|3|NULL
2|22|5|3|NULL
2|23|3|3|NULL
2|24|6|3|NULL
2|25|2|3|NULL
3|1|3|3|NULL
3|2|3|3|NULL
3|3|3|3|NULL
3|4|3|3|NULL
3|5|5|3|NULL
3|6|3|3|NULL
3|7|3|3|NULL
3|8|3|3|NULL
3|9|2|3|NULL
3|10|3|3|NULL
3|11|3|3|NULL
3|12|3|3|NULL
3|13|3|3|NULL
3|14|3|3|NULL
3|15|4|3|NULL
3|16|3|3|NULL
3|17|2|3|NULL
3|18|4|3|NULL
3|19|3|3|NULL
3|20|3|3|NULL
3|21|3|3|NULL
3|22|3|3|NULL
3|23|3|3|NULL
3|24|3|3|NULL
3|25|2|3|NULL
3|26|1|3|NULL
3|27|2|3|NULL
4|1|1|3|NULL
4|3|1|3|NULL
4|4|1|3|NULL
4|5|2|3|NULL
4|7|1|3|NULL
4|8|1|3|NULL
4|9|1|3|NULL
4|11|1|3|NULL
4|12|3|3|NULL
4|14|8|3|NULL
4|15|1|3|NULL
4|18|1|3|NULL
4|19|3|3|NULL
4|20|2|3|NULL
4|21|2|3|NULL
4|22|1|3|NULL
4|23|1|3|NULL
5|1|6|3|NULL
5|2|3|3|NULL
5|4|2|3|NULL
5|5|4|3|NULL
5|6|3|3|NULL
5|7|3|3|NULL
5|8|3|3|NULL
5|9|3|3|NULL
5|10|3|3|NULL
5|11|1|3|NULL
5|12|7|3|NULL
5|13|1|3|NULL
5|14|3|3|NULL
5|15|1|3|NULL
5|16|7|3|NULL
5|17|4|3|NULL
5|18|3|3|NULL
5|19|3|3|NULL
5|20|2|3|NULL
5|22|2|3|NULL
6|1|8|3|NULL
6|2|3|3|NULL
6|3|2|3|NULL
6|4|2|3|NULL
6|5|1|3|NULL
6|6|2|3|NULL
6|7|6|3|NULL
6|8|4|3|NULL
6|9|5|3|NULL
6|10|3|3|NULL
6|11|1|3|NULL
6|12|3|3|NULL
6|13|3|3|NULL
6|14|2|3|NULL
6|15|3|3|NULL
6|16|3|3|NULL
6|17|3|3|NULL
6|18|1|3|NULL
6|19|3|3|NULL
6|20|2|3|NULL
6|21|3|3|NULL
7|1|2|3|NULL
7|2|2|3|NULL
7|3|2|3|NULL
7|4|3|3|NULL
7|5|9|3|NULL
7|6|6|3|NULL
7|7|3|3|NULL
7|8|2|3|NULL
7|9|8|3|NULL
7|10|2|3|NULL
7|11|4|3|NULL
7|12|3|3|NULL
7|13|2|3|NULL
7|14|1|3|NULL
7|16|1|3|NULL
7|17|1|3|NULL
7|19|3|3|NULL
7|20|1|3|NULL
7|21|1|3|NULL
7|22|2|3|NULL
7|24|1|3|NULL
8|1|2|3|NULL
8|2|8|3|NULL
8|3|1|3|NULL
8|4|2|3|NULL
8|5|1|3|NULL
8|6|2|3|NULL
8|8|3|3|NULL
8|9|2|3|NULL
8|12|1|3|NULL
8|14|3|3|NULL
8|16|4|3|NULL
8|17|1|3|NULL
9|2|2|3|NULL
9|3|3|3|NULL
9|4|2|3|NULL
9|5|1|3|NULL
9|6|2|3|NULL
9|7|1|3|NULL
9|8|3|3|NULL
9|9|3|3|NULL
9|10|1|3|NULL
9|11|2|3|NULL
9|12|1|3|NULL
9|13|2|3|NULL
9|14|1|3|NULL
9|15|1|3|NULL
9|16|2|3|NULL
10|1|1|3|NULL
10|2|1|3|NULL
10|3|2|3|NULL
10|4|1|3|NULL
10|5|1|3|NULL
10|6|1|3|NULL
10|7|2|3|NULL
10|8|1|3|NULL
10|9|2|3|NULL
10|10|1|3|NULL
10|11|2|3|NULL
10|12|1|3|NULL
10|13|1|3|NULL
10|14|2|3|NULL
10|15|1|3|NULL
10|16|1|3|NULL
10|17|2|3|NULL
10|18|3|3|NULL
10|19|3|3|NULL
11|1|1|3|NULL
11|2|2|3|NULL
11|3|2|3|NULL
11|4|3|3|NULL
11|6|5|3|NULL
11|7|1|3|NULL
11|8|2|3|NULL
11|9|1|3|NULL
11|10|2|3|NULL
11|11|1|3|NULL
11|12|1|3|NULL
11|13|1|3|NULL
11|14|1|3|NULL
11|15|1|3|NULL
11|17|1|3|NULL
11|18|2|3|NULL
11|19|1|3|NULL
11|20|2|3|NULL
11|21|1|3|NULL
11|22|4|3|NULL
12|1|4|3|NULL
12|4|5|3|NULL
12|5|5|3|NULL
12|6|1|3|NULL
12|7|1|3|NULL
12|8|1|3|NULL
12|9|1|3|NULL
12|10|1|3|NULL
12|11|2|3|NULL
12|12|2|3|NULL
12|13|1|3|NULL
12|14|2|3|NULL
12|15|4|3|NULL
12|16|2|3|NULL
12|17|1|3|NULL
12|18|1|3|NULL
12|19|2|3|NULL
12|20|4|3|NULL
12|22|1|3|NULL
13|1|1|3|NULL
13|2|2|3|NULL
13|3|2|3|NULL
13|4|2|3|NULL
13|5|2|3|NULL
