muestra|Comuna|Fraccion|Radio|Manzana|relevamiento
10017|12|14|1|1|Locales
10046|12|14|1|1|Listado
10017|12|16|1|1|Listado
10046|12|16|1|1|Locales
10024|12|17|1|1|Locales
10050|12|17|1|1|Locales
10009|12|18|1|1|Listado
10046|12|18|1|1|Listado
10024|12|19|3|1|Listado
10050|12|19|3|1|Listado
10026|12|20|4|1|Listado
10030|12|20|4|1|Listado
10024|12|22|1|1|Listado
10050|12|22|1|1|Locales
10024|13|1|1|1|Locales
10050|13|1|1|1|Listado
10017|13|2|1|1|Locales
10046|13|2|1|1|Locales
10017|13|3|2|1|Locales
10048|13|3|2|1|Locales
10017|13|4|1|1|Listado
10046|13|4|1|1|Locales
10017|13|5|1|1|Listado
10046|13|5|1|1|Locales
10027|13|6|2|1|Listado
10027|13|7|1|1|Listado
10017|13|8|1|1|Listado
10046|13|8|1|1|Locales
10017|13|9|3|1|Listado
10039|13|9|3|1|Locales
10017|13|11|3|1|Listado
10046|13|11|3|1|Locales
10017|13|12|1|1|Listado
10039|13|12|1|1|Locales
10017|13|13|1|1|Listado
10039|13|13|1|1|Locales
10013|13|14|6|1|Locales
10046|13|14|6|1|Listado
10017|13|15|1|1|Locales
10046|13|15|1|1|Listado
10027|13|16|1|1|Listado
10017|13|17|1|1|Listado
10046|13|17|1|1|Locales
10017|13|18|1|1|Locales
10046|13|18|1|1|Locales
10017|13|19|1|1|Listado
10046|13|19|1|1|Listado
10026|13|20|1|1|Locales
10017|13|21|1|1|Locales
10046|13|21|1|1|Locales
10024|13|22|1|1|Listado
10050|13|22|1|1|Listado
10017|13|24|1|1|Listado
10039|13|24|1|1|Locales
10017|13|25|1|1|Locales
10046|13|25|1|1|Locales
10026|13|26|1|1|Locales
10009|13|27|1|1|Locales
10046|13|27|1|1|Locales
10017|13|28|1|1|Listado
10046|13|28|1|1|Listado
10024|13|29|1|1|Locales
10050|13|29|1|1|Listado
10024|14|1|1|1|Locales
10050|14|1|1|1|Listado
10017|14|2|1|1|Locales
10046|14|2|1|1|Locales
10012|14|3|1|1|Locales
10046|14|3|1|1|Listado
10017|14|4|1|1|Listado
10046|14|4|1|1|Locales
10017|14|5|1|1|Locales
10039|14|5|1|1|Locales
10017|14|6|2|1|Locales
10046|14|6|2|1|Locales
10017|14|8|1|1|Listado
10035|14|8|1|1|Locales
10017|14|9|1|1|Listado
10039|14|9|1|1|Locales
10024|14|10|2|1|Locales
10050|14|10|2|1|Listado
10017|14|11|1|1|Locales
10039|14|11|1|1|Listado
10024|14|12|1|1|Listado
10050|14|12|1|1|Listado
10017|14|13|2|1|Locales
10039|14|13|2|1|Locales
10017|14|14|7|1|Locales
10046|14|14|7|1|Listado
10024|14|15|1|1|Locales
10050|14|15|1|1|Listado
10024|14|17|1|1|Listado
10050|14|17|1|1|Listado
10009|14|18|1|1|Listado
10046|14|18|1|1|Locales
10027|14|19|1|1|Listado
10010|14|20|1|1|Locales
10046|14|20|1|1|Listado
10024|14|21|1|1|Listado
10050|14|21|1|1|Listado
10026|14|22|1|1|Listado
10017|14|23|1|1|Listado
10039|14|23|1|1|Listado
10026|14|24|1|1|Listado
10026|14|25|1|1|Listado
10026|14|26|1|1|Locales
10030|14|27|3|1|Locales
10017|14|28|3|1|Locales
10046|14|28|3|1|Locales
10024|14|29|1|1|Locales
10050|14|29|1|1|Locales
